,Qual a sua faixa etária?,Qual o seu Curso Atual?,Conhecimento sobre IA,Eficiência no Processo de Aprendizagem com a utilização de uma IA,Preocupações com a Privacidade dos Dados,Expectativas sobre o Crescimento do Uso de IA na Educação,"Em uma escala de 1 a 10, qual seria sua avaliação global sobre o impacto da IA na sua experiência acadêmica?",Com que frequência você utiliza ferramentas baseadas em IA em suas atividades acadêmicas?,"Quantas horas, em média, você dedica aos estudos acadêmicos por semana? (tirando trabalhos e atividades referentes a aula)","Em média, quantas vezes por dia você acessa algum tipo de IA? (chat gpt, bard, entre outros...)"
,18 - 20,Sistemas de Informação,3,4,2,4,6,3,12h +,2
,18 - 20,Adm,3,3,4,2,8,3,1h - 3h,2
,18 - 20,Defesa cibernética ,3,5,4,5,10,2,8h - 11h,6
,18 - 20,Sistema de informação ,3,4,4,4,8,5,8h - 11h,2
,18 - 20,Escola,1,2,3,3,5,1,1h - 3h,1
,18 - 20,engenharia mecânica ,3,4,2,5,8,4,12h +,2
,21 - 23,Sistema de Informação,3,4,3,4,10,4,1h - 3h,4
,21 - 23,Direito,3,3,5,3,5,2,1h - 3h,4
,21 - 23,Sistemas de Informação,3,3,3,3,5,3,1h - 3h,5
,18 - 20,CP,3,3,2,5,10,4,1h - 3h,1
,21 - 23,Sistemas de Informação ,3,2,3,3,8,3,4h - 7h,3
,21 - 23,Sistemas de informação ,3,4,3,4,6,5,1h - 3h,6
,24 +,Análie de Sistemas,3,3,4,4,8,4,8h - 11h,4
,24 +,Publicidade e propaganda ,5,5,1,5,10,5,4h - 7h,6
,21 - 23,Cinema,3,4,2,4,8,4,1h - 3h,5
,21 - 23,Biomedicina ,2,4,5,2,1,1,1h - 3h,1
,18 - 20,Cinema ,3,5,3,5,8,4,4h - 7h,1
,21 - 23,Nenhum ,3,3,5,2,6,3,4h - 7h,3
,21 - 23,Administração,2,2,4,3,3,2,1h - 3h,1
,18 - 20,Engenharia de produção ,2,2,3,3,6,4,4h - 7h,1
,21 - 23,Engenharia de Automação e Controle,2,3,4,3,6,2,12h +,1
,18 - 20,Arquitetura e Urbanismo,2,3,4,4,2,1,8h - 11h,1
,18 - 20,direito ,2,3,2,4,9,2,8h - 11h,1
,21 - 23,Medicina ,3,3,4,5,8,4,12h +,3
,21 - 23,cinema e audiovisual ,1,1,1,3,10,5,1h - 3h,4
,18 - 20,Direito ,2,5,4,4,7,4,12h +,4
,18 - 20,pp,2,2,3,3,7,2,1h - 3h,1
,21 - 23,Medicina ,3,3,4,4,7,2,12h +,1
,18 - 20,Medicina,2,3,5,4,8,3,12h +,1
,21 - 23,Arquitetura ,3,4,4,4,4,1,4h - 7h,1
,21 - 23,Cinema,3,1,5,1,8,1,1h - 3h,1
,21 - 23,CAV,3,4,3,5,8,4,1h - 3h,1
,21 - 23,Medicina Veterinária ,4,4,5,3,9,3,1h - 3h,3
,21 - 23,cinema,3,4,2,3,6,5,12h +,1
,18 - 20,Direito,2,2,1,3,9,4,4h - 7h,3
,21 - 23,Bacharelado em Design ,3,2,4,3,4,2,4h - 7h,1
,21 - 23,Medicina ,2,3,1,4,6,3,1h - 3h,2
,18 - 20,Nutrição ,3,3,4,4,8,4,1h - 3h,2
,21 - 23,Cinema e Audiovisual,2,3,5,2,6,3,1h - 3h,1
,18 - 20,Administração ,1,2,3,4,4,3,4h - 7h,1
,18 - 20,Prostituição,5,5,5,5,10,5,8h - 11h,6
,21 - 23,Medicina Veterinária ,3,5,5,5,10,3,1h - 3h,3
,18 - 20,Cinema e Audiovisual ,3,3,2,4,7,4,8h - 11h,4
,18 - 20,veterinária ,2,3,3,4,8,3,4h - 7h,3
,21 - 23,Engenharia da Computação ,3,1,5,5,10,3,1h - 3h,1
,18 - 20,Engenharia Mecânica ,3,4,1,4,8,3,4h - 7h,2
,15 - 17,vagabundo ,2,5,2,3,5,2,1h - 3h,1
,24 +,Cinema,3,3,2,4,6,3,1h - 3h,1
,21 - 23,Moda,3,4,4,5,8,4,4h - 7h,1
,18 - 20,Medicina ,3,3,3,4,6,2,4h - 7h,1
,18 - 20,Medicina,2,3,1,4,8,2,12h +,1
,21 - 23,Ciência da computação ,3,4,2,5,8,5,1h - 3h,3
,18 - 20,Cinema e Audiovisual,2,3,3,4,9,3,8h - 11h,2
,18 - 20,biomedicina,2,5,1,3,10,4,4h - 7h,1
,18 - 20,Administração ,3,4,3,4,10,5,1h - 3h,1
,21 - 23,Pp,3,5,4,4,9,5,1h - 3h,2
,18 - 20,r.i.,4,2,1,4,7,5,1h - 3h,1
,21 - 23,Veterinária ,2,2,3,3,3,2,1h - 3h,1
,18 - 20,Engenharia Produção,3,4,2,4,5,2,1h - 3h,1
,18 - 20,Economia,3,4,2,5,7,4,1h - 3h,2
,18 - 20,administração,2,3,4,4,7,4,1h - 3h,2
,24 +,Estagiária ,1,2,5,2,2,1,8h - 11h,1
,15 - 17,2° EM,3,3,4,3,9,3,1h - 3h,3
,18 - 20,Administração ,2,3,4,3,4,2,12h +,1
,21 - 23,Direito,1,3,4,3,7,4,8h - 11h,3
,24 +,Arquitetura ,2,3,5,5,7,1,4h - 7h,1
,15 - 17,Administração ,1,4,2,3,9,1,1h - 3h,1